Label,lumMean,lumSD,area,lwMean,lwSD,mwMean,mwSD,swMean,swSD
keimoes1_bromfeldii.insularis_XV/2355_2358_b1,0.353754222,0.054846331,41.48284113,0.365449452,0.055984921,0.342058992,0.053965906,0.252407514,0.043105616
keimoes1_bromfeldii.insularis_XV/2355_2358_b10,0.26544886,0.07477086,48.5168311,0.282845376,0.078797349,0.248052343,0.071040998,0.151696589,0.046755085
keimoes1_bromfeldii.insularis_XV/2355_2358_b11,0.093607645,0.045592899,344.2590711,0.113588334,0.051556904,0.073626955,0.040024884,0.042830054,0.022458342
keimoes1_bromfeldii.insularis_XV/2355_2358_b12,0.331132221,0.12911911,651.6323052,0.349004823,0.134821225,0.313259619,0.123550325,0.218419214,0.080692203
keimoes1_bromfeldii.insularis_XV/2355_2358_b2,0.242853521,0.070770502,14.89232685,0.264795928,0.074378394,0.220911113,0.067473176,0.123457223,0.042086788
keimoes1_bromfeldii.insularis_XV/2355_2358_b3,0.293819938,0.050748554,114.172867,0.313239595,0.051793248,0.27440028,0.050085562,0.171505663,0.036382974
keimoes1_bromfeldii.insularis_XV/2355_2358_b4,0.237455499,0.071558581,66.09525058,0.253185153,0.073246476,0.221725846,0.070204038,0.147880837,0.053081841
keimoes1_bromfeldii.insularis_XV/2355_2358_b5,0.295633444,0.064808734,88.51814219,0.312001918,0.067152761,0.279264971,0.062767893,0.190852916,0.044301407
keimoes1_bromfeldii.insularis_XV/2355_2358_b6,0.30213957,0.087168862,468.5748468,0.313403473,0.090433943,0.290875667,0.08411877,0.215604693,0.058696393
keimoes1_bromfeldii.insularis_XV/2355_2358_b7,0.18243377,0.057043068,26.10541152,0.192489715,0.059472713,0.172377824,0.054859227,0.118559722,0.036661364
keimoes1_bromfeldii.insularis_XV/2355_2358_b8,0.216439095,0.068121758,109.7315546,0.229150694,0.070607382,0.203727497,0.065778797,0.137823353,0.045739899
keimoes1_bromfeldii.insularis_XV/2355_2358_b9,0.223936989,0.080596355,238.3378675,0.23960711,0.0821642,0.208266868,0.079329324,0.131544961,0.060971066
